Product Name,Product Image,Card Effect,Card Name,Card Number,Card Type,Card Subtype,Class,Cost,Defense Value,Finish,Intellect,Life,Pitch Value,Power,Rarity,Set Name,Multi Faced,Card Uri
Anothos - 1st Edition // Bravo - 1st Edition,3-1-anothoswtr040.jpg // 3-2-bravowtr039.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.)",Anothos // Bravo,WTR040 // WTR039,Hero Weapon,Hammer (2H);Young,Guardian,,,1st Edition,4,20,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-bravo?Language=English
"Anothos - 1st Edition // Bravo, Showstopper - 1st Edition",4-1-anothoswtr040.jpg // 4-2-bravo-showstopperwtr038.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Bravo, Showstopper <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.)","Anothos // Bravo, Showstopper",WTR040 // WTR038,Hero Weapon,Hammer (2H),Guardian,,,1st Edition,4,40,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-bravo-showstopper?Language=English
Anothos - 1st Edition // Dawnblade - 1st Edition,5-1-anothoswtr040.jpg // 5-2-dawnbladewtr115.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Dawnblade <br />Once per Turn Action - [1 Resource]: Attack <br />If // Dawnblade <br />hits, and it's the second time it has hit this turn, put a +1 [Power] counter on // Dawnblade <br />. <br />At the beginning of your end phase, if // Dawnblade <br />did not hit this turn, remove all +1 [Power] counters from // Dawnblade <br />.",Anothos // Dawnblade,WTR040 // WTR115,Weapon,Hammer (2H);Sword (2H),Guardian Warrior,,,1st Edition,,,,4 // 3,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-dawnblade?Language=English
Ancestral Empowerment Unlimited Edition Normal,2-1-ancestral-empowermentwtr082.jpg,Target Ninja attack action card gains +1 [Power]. <br />Draw a card.,Ancestral Empowerment,WTR082,Attack Reaction,,Ninja,0,3,Unlimited Edition Normal,,,1,,Majestic,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/ancestral-empowerment?Language=English
Alpha Rampage Unlimited Edition Rainbow Foil,1-1-alpha-rampagewtr006.jpg,"Rhinar Specialization (You may only have Alpha Rampage in your deck if your hero is Rhinar.) <br />As an additional cost to play Alpha Rampage, discard a random card. <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)",Alpha Rampage,WTR006,Action,Attack,Brute,3,3,Unlimited Edition Rainbow Foil,,,1,9,Majestic,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/alpha-rampage?Language=English
Anothos - 1st Edition // Dorinthea - 1st Edition,6-1-anothoswtr040.jpg // 6-2-dorintheawtr114.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Dorinthea <br />Once per Turn Effect - When your weapon attack hits, you may attack an additional time with that weapon this turn.",Anothos // Dorinthea,WTR040 // WTR114,Hero Weapon,Hammer (2H);Young,Guardian Warrior,,,1st Edition,4,20,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-dorinthea?Language=English
Anothos Unlimited Edition Normal // Dorinthea Ironsong Unlimited Edition Normal,7-1-anothoswtr040.jpg // 7-2-dorinthea-ironsongwtr113.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Dorinthea Ironsong <br />Once per Turn Effect - When your weapon attack hits, you may attack an additional time with that weapon this turn.",Anothos // Dorinthea Ironsong,WTR040 // WTR113,Hero Weapon,Hammer (2H),Guardian Warrior,,,Unlimited Edition Normal,4,40,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-dorinthea-ironsong?Language=English
Anothos - 1st Edition // Harmonized Kodachi - 1st Edition,8-1-anothoswtr040.jpg // 8-2-harmonized-kodachiwtr078.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Harmonized Kodachi <br />Once per Turn Action - [1 Resource]: Attack <br />If you have a card in your pitch zone with cost 0, // Harmonized Kodachi <br />gains go again.",Anothos // Harmonized Kodachi,WTR040 // WTR078,Weapon,Dagger (1H);Hammer (2H),Guardian Ninja,,,1st Edition,,,,4 // 1,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-harmonized-kodachi?Language=English
Anothos Unlimited Edition Normal // Katsu Unlimited Edition Normal,9-1-anothoswtr040.jpg // 9-2-katsuwtr077.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Katsu <br />Once per Turn Effect - When an attack action card you control hits, you may discard a card with cost 0. If you do, search your deck for a card with combo, banish it face up, then shuffle your deck. You may play it this turn.",Anothos // Katsu,WTR040 // WTR077,Hero Weapon,Hammer (2H);Young,Guardian Ninja,,,Unlimited Edition Normal,4,20,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-katsu?Language=English
"Anothos - 1st Edition // Katsu, the Wanderer - 1st Edition",10-1-anothoswtr040.jpg // 10-2-katsu-the-wandererwtr076.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Katsu, the Wanderer <br />Once per Turn Effect - When an attack action card you control hits, you may discard a card with cost 0. If you do, search your deck for a card with combo, banish it face up, then shuffle your deck. You may play it this turn.","Anothos // Katsu, the Wanderer",WTR040 // WTR076,Hero Weapon,Hammer (2H),Guardian Ninja,,,1st Edition,4,40,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-katsu-the-wanderer?Language=English
